source,type,year,var_short,value,iso3,var_long,residence,san_service_chain
DHS-MICS,Survey with microdata,2012,s_od_r,56.5,CIV,Open defecation,rural,open defecation
ENV,Survey,2015,s_od_r,43.31,CIV,Open defecation,rural,open defecation
MICS,Survey with microdata,2016,s_od_r,38.95294,CIV,Open defecation,rural,open defecation
PMA,Survey with microdata,2017,s_od_r,43.3287,CIV,Open defecation,rural,open defecation
PMA,Survey with microdata,2018,s_od_r,44.90355,CIV,Open defecation,rural,open defecation
MICS,Survey with microdata,2006,s_shared_r,51.388888888888886,CIV,Shared,rural,sharing
DHS-MICS,Survey with microdata,2012,s_shared_r,63.54795,CIV,Shared,rural,sharing
MICS,Survey with microdata,2016,s_shared_r,48.12775,CIV,Shared,rural,sharing
PMA,Survey with microdata,2017,s_shared_r,36.03386,CIV,Shared,rural,sharing
PMA,Survey with microdata,2018,s_shared_r,43.4983,CIV,Shared,rural,sharing
ES,Admin,2011,s_treat_wtp_n,96.88644688644688,HRV,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2012,s_treat_wtp_n,96.88644688644688,HRV,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2013,s_treat_wtp_n,96.88644688644688,HRV,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2014,s_treat_wtp_n,96.88644688644688,HRV,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2015,s_treat_wtp_n,96.88644688644688,HRV,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2016,s_treat_wtp_n,96.88644688644688,HRV,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2017,s_treat_wtp_n,96.88644688644688,HRV,Treated at wastewater treatment plant,national,WW treatment
CC,Other,2019,s_treat_wtp_n,74.00000000000001,HRV,Treated at wastewater treatment plant,national,WW treatment
WHS,Survey with microdata,2003,s_imp_u,99.27,HRV,Improved,urban,user interface
EU SILC,Survey with microdata,2012,s_imp_u,99,HRV,Improved,urban,user interface
EU SILC,Survey,2013,s_imp_u,99.5,HRV,Improved,urban,user interface
EU SILC,Survey,2014,s_imp_u,99.5,HRV,Improved,urban,user interface
EU SILC,Survey,2015,s_imp_u,99.55,HRV,Improved,urban,user interface
WHS,Survey with microdata,2003,s_sew_u,79.33,HRV,Sewer,urban,user interface
WHS,Survey with microdata,2003,s_sep_u,16.67,HRV,Septic,urban,user interface
WHS,Survey with microdata,2003,s_lat_u,3.269999999999996,HRV,Latrines and other improved,urban,user interface
EU SILC,Survey with microdata,2012,s_shared_u,1.6326530612244898,HRV,Shared,urban,sharing
WHS,Survey with microdata,2003,s_imp_r,98.26000000000002,HRV,Improved,rural,user interface
EU SILC,Survey with microdata,2012,s_imp_r,97.95,HRV,Improved,rural,user interface
EU SILC,Survey,2013,s_imp_r,98.45,HRV,Improved,rural,user interface
EU SILC,Survey,2014,s_imp_r,98.35,HRV,Improved,rural,user interface
EU SILC,Survey,2015,s_imp_r,98.6,HRV,Improved,rural,user interface
WHS,Survey with microdata,2003,s_sew_r,29.26,HRV,Sewer,rural,user interface
WHS,Survey with microdata,2003,s_sep_r,61.45000000000001,HRV,Septic,rural,user interface
WHS,Survey with microdata,2003,s_lat_r,7.550000000000011,HRV,Latrines and other improved,rural,user interface
EU SILC,Survey with microdata,2012,s_shared_r,3.64963503649635,HRV,Shared,rural,sharing
AE,Admin,2012,s_treat_wtp_n,25,CUB,Treated at wastewater treatment plant,national,WW treatment
AE,Admin,2013,s_treat_wtp_n,25.1,CUB,Treated at wastewater treatment plant,national,WW treatment
AE,Admin,2014,s_treat_wtp_n,25.3,CUB,Treated at wastewater treatment plant,national,WW treatment
AE,Admin,2015,s_treat_wtp_n,25.1,CUB,Treated at wastewater treatment plant,national,WW treatment
AE,Admin,2016,s_treat_wtp_n,26.1,CUB,Treated at wastewater treatment plant,national,WW treatment
AE,Admin,2017,s_treat_wtp_n,26.9,CUB,Treated at wastewater treatment plant,national,WW treatment
AE,Admin,2018,s_treat_wtp_n,26.9,CUB,Treated at wastewater treatment plant,national,WW treatment
AE,Admin,2019,s_treat_wtp_n,26.8,CUB,Treated at wastewater treatment plant,national,WW treatment
MICS,Survey,2000,s_imp_u,96.46842105263156,CUB,Improved,urban,user interface
MICS,Survey with microdata,2006,s_imp_u,97.2,CUB,Improved,urban,user interface
MICS,Survey with microdata,2011,s_imp_u,96.3,CUB,Improved,urban,user interface
MICS,Survey with microdata,2014,s_imp_u,96,CUB,Improved,urban,user interface
MICS,Survey with microdata,2019,s_imp_u,94.11104,CUB,Improved,urban,user interface
MICS,Survey with microdata,2006,s_sew_u,52.8,CUB,Sewer,urban,user interface
MICS,Survey with microdata,2011,s_sew_u,56.7,CUB,Sewer,urban,user interface
MICS,Survey with microdata,2014,s_sew_u,58.8,CUB,Sewer,urban,user interface
MICS,Survey with microdata,2019,s_sew_u,72.16408,CUB,Sewer,urban,user interface
MICS,Survey with microdata,2006,s_sep_u,29.4,CUB,Septic,urban,user interface
MICS,Survey with microdata,2011,s_sep_u,24.8,CUB,Septic,urban,user interface
MICS,Survey with microdata,2014,s_sep_u,25.4,CUB,Septic,urban,user interface
MICS,Survey with microdata,2019,s_sep_u,12.16028,CUB,Septic,urban,user interface
MICS,Survey with microdata,2006,s_lat_u,15.000000000000014,CUB,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2011,s_lat_u,14.799999999999995,CUB,Latrines and other improved,urban,user interface
CEN,Census,2012,s_lat_u,0,CUB,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2014,s_lat_u,11.800000000000011,CUB,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2019,s_lat_u,9.78667999999999,CUB,Latrines and other improved,urban,user interface
MICS,Survey,2000,s_od_u,0.9,CUB,Open defecation,urban,open defecation
MICS,Survey with microdata,2006,s_od_u,0.5,CUB,Open defecation,urban,open defecation
MICS,Survey with microdata,2011,s_od_u,0.5,CUB,Open defecation,urban,open defecation
MICS,Survey with microdata,2014,s_od_u,0.2,CUB,Open defecation,urban,open defecation
MICS,Survey with microdata,2019,s_od_u,0.25112,CUB,Open defecation,urban,open defecation
MICS,Survey with microdata,2019,s_sep_nemp_u,64.38559,CUB,Septic: not emptied,national,emptying
MICS,Survey with microdata,2019,s_sep_ebo_u,2.85447,CUB,Septic: emptied and buried onsite,urban,emptying
MICS,Survey with microdata,2019,s_sep_edl_u,0,CUB,Septic: emptied and discharged locally,urban,emptying
MICS,Survey with microdata,2019,s_sep_ero_u,32.75994,CUB,Septic: emptied and removed offsite,urban,emptying
MICS,Survey with microdata,2019,s_lat_nemp_u,75.59455,CUB,Latrines: not emptied,national,emptying
MICS,Survey with microdata,2019,s_lat_ebo_u,1.10375,CUB,Latrines: emptied and buried onsite,urban,emptying
MICS,Survey with microdata,2019,s_lat_edl_u,0.39859,CUB,Latrines: emptied and discharged locally,urban,emptying
MICS,Survey with microdata,2019,s_lat_ero_u,22.90311,CUB,Latrines: emptied and removed offsite,urban,emptying
MICS,Survey with microdata,2006,s_shared_u,5.5,CUB,Shared,urban,sharing
MICS,Survey with microdata,2011,s_shared_u,4,CUB,Shared,urban,sharing
MICS,Survey with microdata,2014,s_shared_u,4.734809997967892,CUB,Shared,urban,sharing
MICS,Survey with microdata,2019,s_shared_u,1.7765099999999998,CUB,Shared,urban,sharing
MICS,Survey,2000,s_imp_r,83.2955357142857,CUB,Improved,rural,user interface
MICS,Survey with microdata,2006,s_imp_r,93.1,CUB,Improved,rural,user interface
MICS,Survey with microdata,2011,s_imp_r,90.2,CUB,Improved,rural,user interface
MICS,Survey with microdata,2014,s_imp_r,93.1,CUB,Improved,rural,user interface
MICS,Survey with microdata,2019,s_imp_r,80.21935,CUB,Improved,rural,user interface
MICS,Survey with microdata,2006,s_sew_r,13.1,CUB,Sewer,rural,user interface
MICS,Survey with microdata,2011,s_sew_r,15.2,CUB,Sewer,rural,user interface
MICS,Survey with microdata,2014,s_sew_r,14,CUB,Sewer,rural,user interface
MICS,Survey with microdata,2019,s_sew_r,30.31186,CUB,Sewer,rural,user interface
MICS,Survey with microdata,2006,s_sep_r,22,CUB,Septic,rural,user interface
MICS,Survey with microdata,2011,s_sep_r,24.4,CUB,Septic,rural,user interface
MICS,Survey with microdata,2014,s_sep_r,29.8,CUB,Septic,rural,user interface
MICS,Survey with microdata,2019,s_sep_r,18.34602,CUB,Septic,rural,user interface
MICS,Survey with microdata,2006,s_lat_r,57.99999999999999,CUB,Latrines and other improved,rural,user interface
MICS,Survey with microdata,2011,s_lat_r,50.599999999999994,CUB,Latrines and other improved,rural,user interface
CEN,Census,2012,s_lat_r,0,CUB,Latrines and other improved,rural,user interface
MICS,Survey with microdata,2014,s_lat_r,49.3,CUB,Latrines and other improved,rural,user interface
MICS,Survey with microdata,2019,s_lat_r,31.561470000000007,CUB,Latrines and other improved,rural,user interface
MICS,Survey,2000,s_od_r,4.9,CUB,Open defecation,rural,open defecation
MICS,Survey with microdata,2006,s_od_r,2.9,CUB,Open defecation,rural,open defecation
MICS,Survey with microdata,2011,s_od_r,2.3,CUB,Open defecation,rural,open defecation
MICS,Survey with microdata,2014,s_od_r,1,CUB,Open defecation,rural,open defecation
MICS,Survey with microdata,2019,s_od_r,1.54373,CUB,Open defecation,rural,open defecation
MICS,Survey with microdata,2019,s_sep_nemp_r,81.31095,CUB,Septic: not emptied,national,emptying
MICS,Survey with microdata,2019,s_sep_ebo_r,2.55747,CUB,Septic: emptied and buried onsite,rural,emptying
MICS,Survey with microdata,2019,s_sep_edl_r,0.13678,CUB,Septic: emptied and discharged locally,rural,emptying
MICS,Survey with microdata,2019,s_sep_ero_r,15.99481,CUB,Septic: emptied and removed offsite,rural,emptying
MICS,Survey with microdata,2019,s_lat_nemp_r,91.3596,CUB,Latrines: not emptied,national,emptying
MICS,Survey with microdata,2019,s_lat_ebo_r,1.20752,CUB,Latrines: emptied and buried onsite,rural,emptying
MICS,Survey with microdata,2019,s_lat_edl_r,0.28691,CUB,Latrines: emptied and discharged locally,rural,emptying
MICS,Survey with microdata,2019,s_lat_ero_r,7.14597,CUB,Latrines: emptied and removed offsite,rural,emptying
MICS,Survey with microdata,2006,s_shared_r,13.76,CUB,Shared,rural,sharing
MICS,Survey with microdata,2011,s_shared_r,0.087,CUB,Shared,rural,sharing
MICS,Survey with microdata,2014,s_shared_r,5.539743850376092,CUB,Shared,rural,sharing
MICS,Survey with microdata,2019,s_shared_r,3.50005,CUB,Shared,rural,sharing
CEN,Census,2001,s_imp_n,98.16037626561015,CUW,Improved,national,user interface
CEN,Census,2011,s_imp_n,98.818625309451,CUW,Improved,national,user interface
CEN,Census,2001,s_sew_n,23.085656032065984,CUW,Sewer,national,user interface
CEN,Census,2011,s_sew_n,18.58344255133246,CUW,Sewer,national,user interface
CEN,Census,2001,s_sep_n,74.52097958805403,CUW,Septic,national,user interface
CEN,Census,2011,s_sep_n,80.23518275811854,CUW,Septic,national,user interface
CEN,Census,2001,s_lat_n,0.5537406454901372,CUW,Latrines and other improved,national,user interface
CEN,Census,2011,s_lat_n,0,CUW,Latrines and other improved,national,user interface
CEN,Census,2001,s_od_n,0.9082273348624916,CUW,Open defecation,national,open defecation
CEN,Census,2011,s_od_n,0.3786223969710209,CUW,Open defecation,national,open defecation
NISMOD,Admin,2017,s_treat_wtp_n,16,CUW,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2005,s_treat_wtp_n,100,CYP,Treated at wastewater treatment plant,national,WW treatment
NGGI,Admin,2018,s_treat_wtp_n,100,CYP,Treated at wastewater treatment plant,national,WW treatment
CWD,Admin,2004,s_imp_u,100,CYP,Improved,urban,user interface
CEN,Census,2011,s_imp_u,98.78592255258565,CYP,Improved,urban,user interface
EU SILC,Admin,2013,s_imp_u,99.85,CYP,Improved,urban,user interface
EU SILC,Admin,2014,s_imp_u,99.75,CYP,Improved,urban,user interface
EU SILC,Admin,2015,s_imp_u,99.75,CYP,Improved,urban,user interface
HBS,Survey,2016,s_imp_u,100,CYP,Improved,urban,user interface
CWD,Admin,2004,s_sew_u,73,CYP,Sewer,urban,user interface
HBS,Survey,2016,s_sew_u,72.95,CYP,Sewer,urban,user interface
CWD,Admin,2004,s_sep_u,27,CYP,Septic,urban,user interface
HBS,Survey,2016,s_sep_u,27.049999999999997,CYP,Septic,urban,user interface
CWD,Admin,2004,s_lat_u,0,CYP,Latrines and other improved,urban,user interface
HBS,Survey,2016,s_lat_u,0,CYP,Latrines and other improved,urban,user interface
CWD,Admin,2004,s_imp_r,100,CYP,Improved,rural,user interface
CEN,Census,2011,s_imp_r,99.31196313481487,CYP,Improved,rural,user interface
EU SILC,Admin,2013,s_imp_r,98.25,CYP,Improved,rural,user interface
EU SILC,Admin,2014,s_imp_r,98.7,CYP,Improved,rural,user interface
EU SILC,Admin,2015,s_imp_r,99.05,CYP,Improved,rural,user interface
HBS,Survey,2016,s_imp_r,99.81,CYP,Improved,rural,user interface
CWD,Admin,2004,s_sew_r,9,CYP,Sewer,rural,user interface
HBS,Survey,2016,s_sew_r,16.87,CYP,Sewer,rural,user interface
CWD,Admin,2004,s_sep_r,91,CYP,Septic,rural,user interface
HBS,Survey,2016,s_sep_r,82.94,CYP,Septic,rural,user interface
CWD,Admin,2004,s_lat_r,0,CYP,Latrines and other improved,rural,user interface
HBS,Survey,2016,s_lat_r,0,CYP,Latrines and other improved,rural,user interface
RSW,Admin,2000,s_sew_n,74.8,CZE,Sewer,national,user interface
ES,Admin,2000,s_sew_n,75,CZE,Sewer,national,user interface
RSW,Admin,2001,s_sew_n,74.9,CZE,Sewer,national,user interface
ES,Admin,2001,s_sew_n,75,CZE,Sewer,national,user interface
RSW,Admin,2002,s_sew_n,77.4,CZE,Sewer,national,user interface
ES,Admin,2002,s_sew_n,77,CZE,Sewer,national,user interface
RSW,Admin,2003,s_sew_n,77.7,CZE,Sewer,national,user interface
ES,Admin,2003,s_sew_n,78,CZE,Sewer,national,user interface
RSW,Admin,2004,s_sew_n,77.9,CZE,Sewer,national,user interface
ES,Admin,2004,s_sew_n,78,CZE,Sewer,national,user interface
RSW,Admin,2005,s_sew_n,79.1,CZE,Sewer,national,user interface
ES,Admin,2005,s_sew_n,79.1,CZE,Sewer,national,user interface
RSW,Admin,2006,s_sew_n,80,CZE,Sewer,national,user interface
ES,Admin,2006,s_sew_n,80,CZE,Sewer,national,user interface
ES,Admin,2007,s_sew_n,80.55,CZE,Sewer,national,user interface
ES,Admin,2008,s_sew_n,81.1,CZE,Sewer,national,user interface
RSW,Admin,2008,s_sew_n,81.1,CZE,Sewer,national,user interface
ES,Admin,2009,s_sew_n,81.1,CZE,Sewer,national,user interface
RSW,Admin,2009,s_sew_n,81.1,CZE,Sewer,national,user interface
ES,Admin,2010,s_sew_n,81.9,CZE,Sewer,national,user interface
RSW,Admin,2010,s_sew_n,81.9,CZE,Sewer,national,user interface
ES,Admin,2011,s_sew_n,81.9,CZE,Sewer,national,user interface
RSW,Admin,2011,s_sew_n,81.9,CZE,Sewer,national,user interface
RSW,Admin,2012,s_sew_n,82.6,CZE,Sewer,national,user interface
ES,Admin,2012,s_sew_n,82.6,CZE,Sewer,national,user interface
RSW,Admin,2013,s_sew_n,82.8,CZE,Sewer,national,user interface
ES,Admin,2013,s_sew_n,82.8,CZE,Sewer,national,user interface
ES,Admin,2014,s_sew_n,79.9,CZE,Sewer,national,user interface
RSW,Admin,2014,s_sew_n,83.9,CZE,Sewer,national,user interface
ES,Admin,2015,s_sew_n,80.8,CZE,Sewer,national,user interface
RSW,Admin,2015,s_sew_n,84.2,CZE,Sewer,national,user interface
ES,Admin,2016,s_sew_n,81.3,CZE,Sewer,national,user interface
RSW,Admin,2016,s_sew_n,84.7,CZE,Sewer,national,user interface
ES,Admin,2017,s_sew_n,82.4,CZE,Sewer,national,user interface
RSW,Admin,2017,s_sew_n,85.5,CZE,Sewer,national,user interface
RSW,Admin,2018,s_sew_n,85.5,CZE,Sewer,national,user interface
SO,Admin,2019,s_sew_n,85.5,CZE,Sewer,national,user interface
ES,Admin,2000,s_sep_n,25,CZE,Septic,national,user interface
ES,Admin,2001,s_sep_n,25,CZE,Septic,national,user interface
ES,Admin,2002,s_sep_n,23,CZE,Septic,national,user interface
ES,Admin,2003,s_sep_n,22,CZE,Septic,national,user interface
ES,Admin,2004,s_sep_n,22,CZE,Septic,national,user interface
CEN,Census,2011,s_sep_n,18.2,CZE,Septic,national,user interface
RSW,Admin,2000,s_lat_n,0,CZE,Latrines and other improved,national,user interface
ES,Admin,2000,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2002,s_lat_n,0,CZE,Latrines and other improved,national,user interface
ES,Admin,2002,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2004,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2005,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2006,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2008,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2009,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2010,s_lat_n,0,CZE,Latrines and other improved,national,user interface
CEN,Census,2011,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2011,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2012,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2013,s_lat_n,0,CZE,Latrines and other improved,national,user interface
RSW,Admin,2014,s_lat_n,0,CZE,Latrines and other improved,national,user interface
ES,Admin,2005,s_treat_wtp_n,92.03539823008848,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2006,s_treat_wtp_n,89.875,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2007,s_treat_wtp_n,90.62693978895096,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2008,s_treat_wtp_n,92.97163995067818,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2009,s_treat_wtp_n,93.3415536374846,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2010,s_treat_wtp_n,93.89499389499387,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2011,s_treat_wtp_n,95.23809523809524,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2012,s_treat_wtp_n,94.430992736077485,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2013,s_treat_wtp_n,96.37681159420288,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2014,s_treat_wtp_n,99.87484355444305,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2015,s_treat_wtp_n,99.8762376237624,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2016,s_treat_wtp_n,99.8769987699877,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2017,s_treat_wtp_n,99.87864077669904,CZE,Treated at wastewater treatment plant,national,WW treatment
SO,Admin,2018,s_treat_wtp_n,99.9,CZE,Treated at wastewater treatment plant,national,WW treatment
SO,Admin,2019,s_treat_wtp_n,99.9,CZE,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2000,s_imp_u,100,CZE,Improved,urban,user interface
ES,Admin,2001,s_imp_u,100,CZE,Improved,urban,user interface
ES,Admin,2002,s_imp_u,100,CZE,Improved,urban,user interface
ES,Admin,2003,s_imp_u,100,CZE,Improved,urban,user interface
WHS,Survey with microdata,2003,s_imp_u,99.98,CZE,Improved,urban,user interface
ES,Admin,2004,s_imp_u,100,CZE,Improved,urban,user interface
EU SILC,Admin,2012,s_imp_u,100,CZE,Improved,urban,user interface
EU SILC,Admin,2013,s_imp_u,100,CZE,Improved,urban,user interface
EU SILC,Admin,2014,s_imp_u,100,CZE,Improved,urban,user interface
EU SILC,Admin,2015,s_imp_u,100,CZE,Improved,urban,user interface
WHS,Survey with microdata,2003,s_od_u,0,CZE,Open defecation,urban,open defecation
EU SILC,Admin,2012,s_shared_u,0.9072580645161292,CZE,Shared,urban,sharing
ES,Admin,2000,s_imp_r,100,CZE,Improved,rural,user interface
ES,Admin,2001,s_imp_r,100,CZE,Improved,rural,user interface
ES,Admin,2002,s_imp_r,100,CZE,Improved,rural,user interface
ES,Admin,2003,s_imp_r,100,CZE,Improved,rural,user interface
WHS,Survey with microdata,2003,s_imp_r,99.97,CZE,Improved,rural,user interface
ES,Admin,2004,s_imp_r,100,CZE,Improved,rural,user interface
EU SILC,Admin,2012,s_imp_r,99.85802469135804,CZE,Improved,rural,user interface
EU SILC,Admin,2013,s_imp_r,100,CZE,Improved,rural,user interface
EU SILC,Admin,2014,s_imp_r,100,CZE,Improved,rural,user interface
EU SILC,Admin,2015,s_imp_r,100,CZE,Improved,rural,user interface
WHS,Survey with microdata,2003,s_od_r,0,CZE,Open defecation,rural,open defecation
EU SILC,Admin,2012,s_shared_r,0.7128309572301426,CZE,Shared,rural,sharing
CEN,Census,2008,s_imp_u,86.93004202197133,PRK,Improved,urban,user interface
MICS,Survey,2009,s_imp_u,90,PRK,Improved,urban,user interface
MICS,Survey,2017,s_imp_u,91.70000000000002,PRK,Improved,urban,user interface
MICS,Survey,2009,s_sew_u,69.4,PRK,Sewer,urban,user interface
MICS,Survey,2017,s_sew_u,67.2,PRK,Sewer,urban,user interface
MICS,Survey,2009,s_sep_u,3.3,PRK,Septic,urban,user interface
MICS,Survey,2017,s_sep_u,6.4,PRK,Septic,urban,user interface
MICS,Survey,2009,s_lat_u,17.299999999999997,PRK,Latrines and other improved,urban,user interface
MICS,Survey,2017,s_lat_u,18.10000000000001,PRK,Latrines and other improved,urban,user interface
MICS,Survey,2017,s_od_u,0,PRK,Open defecation,urban,open defecation
MICS,Survey,2017,s_sep_nemp_u,1.9083969465648856,PRK,Septic: not emptied,national,emptying
MICS,Survey,2017,s_sep_ebo_u,0.7633587786259542,PRK,Septic: emptied and buried onsite,urban,emptying
MICS,Survey,2017,s_sep_edl_u,88.93129770992367,PRK,Septic: emptied and discharged locally,urban,emptying
MICS,Survey,2017,s_sep_ero_u,8.396946564885495,PRK,Septic: emptied and removed offsite,urban,emptying
MICS,Survey,2017,s_lat_nemp_u,2.71370420624152,PRK,Latrines: not emptied,national,emptying
MICS,Survey,2017,s_lat_ebo_u,2.71370420624152,PRK,Latrines: emptied and buried onsite,urban,emptying
MICS,Survey,2017,s_lat_edl_u,83.98914518317504,PRK,Latrines: emptied and discharged locally,urban,emptying
MICS,Survey,2017,s_lat_ero_u,10.58344640434193,PRK,Latrines: emptied and removed offsite,urban,emptying
CEN,Census,2008,s_shared_u,6.740675509476043,PRK,Shared,urban,sharing
MICS,Survey,2009,s_shared_u,6.215316315205321,PRK,Shared,urban,sharing
MICS,Survey,2017,s_shared_u,2.1134593993325916,PRK,Shared,urban,sharing
CEN,Census,2008,s_imp_r,68.87570591198127,PRK,Improved,rural,user interface
MICS,Survey,2009,s_imp_r,73,PRK,Improved,rural,user interface
MICS,Survey,2017,s_imp_r,72.4,PRK,Improved,rural,user interface
MICS,Survey,2009,s_sew_r,41.4,PRK,Sewer,rural,user interface
MICS,Survey,2017,s_sew_r,9.5,PRK,Sewer,rural,user interface
MICS,Survey,2009,s_sep_r,5.9,PRK,Septic,rural,user interface
MICS,Survey,2017,s_sep_r,14.5,PRK,Septic,rural,user interface
MICS,Survey,2009,s_lat_r,25.700000000000003,PRK,Latrines and other improved,rural,user interface
MICS,Survey,2017,s_lat_r,48.400000000000006,PRK,Latrines and other improved,rural,user interface
MICS,Survey,2017,s_od_r,0,PRK,Open defecation,rural,open defecation
MICS,Survey,2017,s_sep_nemp_r,0,PRK,Septic: not emptied,national,emptying
MICS,Survey,2017,s_sep_ebo_r,1.2987012987012987,PRK,Septic: emptied and buried onsite,rural,emptying
MICS,Survey,2017,s_sep_edl_r,94.8051948051948,PRK,Septic: emptied and discharged locally,rural,emptying
MICS,Survey,2017,s_sep_ero_r,3.896103896103897,PRK,Septic: emptied and removed offsite,rural,emptying
MICS,Survey,2017,s_lat_nemp_r,0.5208333333333335,PRK,Latrines: not emptied,national,emptying
MICS,Survey,2017,s_lat_ebo_r,0.13020833333333337,PRK,Latrines: emptied and buried onsite,rural,emptying
MICS,Survey,2017,s_lat_edl_r,97.78645833333334,PRK,Latrines: emptied and discharged locally,rural,emptying
MICS,Survey,2017,s_lat_ero_r,1.5625000000000004,PRK,Latrines: emptied and removed offsite,rural,emptying
CEN,Census,2008,s_shared_r,2.02417440372244,PRK,Shared,rural,sharing
MICS,Survey,2009,s_shared_r,5.068493150684938,PRK,Shared,rural,sharing
MICS,Survey,2017,s_shared_r,0.2789400278940028,PRK,Shared,rural,sharing
MICS,Survey with microdata,2001,s_imp_u,60.7,COD,Improved,urban,user interface
DHS,Survey with microdata,2007,s_imp_u,53.8,COD,Improved,urban,user interface
MICS,Survey with microdata,2010,s_imp_u,50.09005277044854,COD,Improved,urban,user interface
ENQ,Survey with microdata,2012,s_imp_u,60.61354690016485,COD,Improved,urban,user interface
DHS,Survey with microdata,2014,s_imp_u,56.37392162791737,COD,Improved,urban,user interface
MICS,Survey with microdata,2018,s_imp_u,53.55497999999999,COD,Improved,urban,user interface
MICS,Survey with microdata,2001,s_sew_u,4.1,COD,Sewer,urban,user interface
MICS,Survey with microdata,2010,s_sew_u,0.87,COD,Sewer,urban,user interface
DHS,Survey with microdata,2014,s_sew_u,0.830663253481652,COD,Sewer,urban,user interface
MICS,Survey with microdata,2018,s_sew_u,2.00837,COD,Sewer,urban,user interface
MICS,Survey with microdata,2010,s_sep_u,11.6,COD,Septic,urban,user interface
DHS,Survey with microdata,2014,s_sep_u,12.6207944973159,COD,Septic,urban,user interface
MICS,Survey with microdata,2018,s_sep_u,18.97789,COD,Septic,urban,user interface
MICS,Survey with microdata,2001,s_lat_u,56.6,COD,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2010,s_lat_u,37.62005277044854,COD,Latrines and other improved,urban,user interface
DHS,Survey with microdata,2014,s_lat_u,42.92246387711982,COD,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2018,s_lat_u,32.56872,COD,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2001,s_od_u,3.2,COD,Open defecation,urban,open defecation
ENQ,Survey with microdata,2005,s_od_u,2.01181689662421,COD,Open defecation,urban,open defecation
DHS,Survey with microdata,2007,s_od_u,3.3,COD,Open defecation,urban,open defecation
MICS,Survey with microdata,2010,s_od_u,3.1,COD,Open defecation,urban,open defecation
ENQ,Survey with microdata,2012,s_od_u,3.20233,COD,Open defecation,urban,open defecation
DHS,Survey with microdata,2014,s_od_u,3.91672391673896,COD,Open defecation,urban,open defecation
MICS,Survey with microdata,2018,s_od_u,3.76008,COD,Open defecation,urban,open defecation
MICS,Survey with microdata,2018,s_sep_nemp_u,49.19384,COD,Septic: not emptied,national,emptying
MICS,Survey with microdata,2018,s_sep_ebo_u,34.28298,COD,Septic: emptied and buried onsite,urban,emptying
MICS,Survey with microdata,2018,s_sep_edl_u,2.70781,COD,Septic: emptied and discharged locally,urban,emptying
MICS,Survey with microdata,2018,s_sep_ero_u,13.81537,COD,Septic: emptied and removed offsite,urban,emptying
MICS,Survey with microdata,2018,s_lat_nemp_u,64.9893,COD,Latrines: not emptied,national,emptying
MICS,Survey with microdata,2018,s_lat_ebo_u,24.53866,COD,Latrines: emptied and buried onsite,urban,emptying
MICS,Survey with microdata,2018,s_lat_edl_u,3.74273,COD,Latrines: emptied and discharged locally,urban,emptying
MICS,Survey with microdata,2018,s_lat_ero_u,6.72931,COD,Latrines: emptied and removed offsite,urban,emptying
DHS,Survey with microdata,2007,s_shared_u,58.33566303233623,COD,Shared,urban,sharing
MICS,Survey with microdata,2010,s_shared_u,61.1731843575419,COD,Shared,urban,sharing
